status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,573c49f1b13ff,Astoria,miasto / panorama,1920x1080,24.81,h264,6ejol2sdulhvqkxfn,http://s110.ipcamlive.com/,https://s110.ipcamlive.com/streams/6ejol2sdulhvqkxfn/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/573c49f1b13ff,segment OK
ONLINE,bismarck,Downtown Bismarck,miasto / panorama,1280x720,11.99,h264,5el4kyov837b9fxwh,http://s94.ipcamlive.com/,https://s94.ipcamlive.com/streams/5el4kyov837b9fxwh/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bismarck,segment OK
ONLINE,6634b86c732a3,Hvar Panorama,miasto / panorama,1920x1080,6.10,h264,18ochmxbwrazmvpgn,http://s24.ipcamlive.com/,https://s24.ipcamlive.com/streams/18ochmxbwrazmvpgn/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6634b86c732a3,segment OK
ONLINE,laurelwoodview,Laurelwood Golf - panorama,miasto / panorama,1920x1080,29.94,h264,49x2t1lwyribhp9gz,http://s73.ipcamlive.com/,https://s73.ipcamlive.com/streams/49x2t1lwyribhp9gz/stream.m3u8,ONLINE,https://www.ipcamlive.com/laurelwoodview,segment OK
ONLINE,panocamfliegercamp,Panoramakamera Fliegercamp,miasto / panorama,3840x2160,20.00,h264,7cnl3f6az2cvsahku,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams/7cnl3f6az2cvsahku/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/panocamfliegercamp,segment OK
ONLINE,bonefro1,Piazza Bonefro,miasto / panorama,1920x1080,29.94,h264,a9owwht0mkqngf2ur,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9owwht0mkqngf2ur/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bonefro1,segment OK
ONLINE,piazzacapp,Piazza Umberto I - Petrella Tifernina,miasto / panorama,640x480,11.93,h264,9ajkqcyhapwusmjzx,http://s154.ipcamlive.com/,https://s154.ipcamlive.com/streams/9ajkqcyhapwusmjzx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/piazzacapp,segment OK
ONLINE,plazasierrapambleyvillablino,Plaza Sierra Pambley,miasto / panorama,1920x1080,25.00,h264,7c2rhcf9qmavpozsf,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams/7c2rhcf9qmavpozsf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/plazasierrapambleyvillablino,segment OK
ONLINE,wiezowieczachod,Polska - Bolesławiec - panorama,miasto / panorama,1280x720,15.02,h264,7cnqxqmbwehsmkkdl,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams_storage/7cnqxqmbwehsmkkdl/stream.m3u8,ONLINE,https://www.ipcamlive.com/wiezowieczachod,segment OK
ONLINE,6616fd68cdd18,PR Downtown Hwy 59 North,miasto / panorama,1920x1080,15.00,h265,6fgxkiehjym8qgyt5,http://s111.ipcamlive.com/,https://s111.ipcamlive.com/streams/6fgxkiehjym8qgyt5/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6616fd68cdd18,segment OK
ONLINE,6616fdb7af12f,PR Downtown Hwy 59 South,miasto / panorama,1920x1080,15.00,h265,98tzk253qwumcelke,http://s152.ipcamlive.com/,https://s152.ipcamlive.com/streams/98tzk253qwumcelke/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6616fdb7af12f,segment OK
ONLINE,smokovac,Smokovac,miasto / panorama,1280x720,10.00,h264,4cwqc7wf9fz68so5v,http://s76.ipcamlive.com/,https://s76.ipcamlive.com/streams/4cwqc7wf9fz68so5v/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/smokovac,segment OK
ONLINE,ffm0,Street Cam,miasto / panorama,1280x720,10.00,h264,a22mbyf1wg7pitdzq,http://s162.ipcamlive.com/,https://s162.ipcamlive.com/streams/a22mbyf1wg7pitdzq/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/ffm0,segment OK
ONLINE,5a86db6a77a43,Tisno - most,miasto / panorama,1920x1088,25.00,h264,a847zcdlrxbbef2qx,http://s168.ipcamlive.com/,https://s168.ipcamlive.com/streams/a847zcdlrxbbef2qx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5a86db6a77a43,segment OK
ONLINE,cotswold,Anglia - Cotswold Airport,morze / port / plaża,640x480,14.71,h265,1dvjpnyyrkgohecsb,http://s29.ipcamlive.com/,https://s29.ipcamlive.com/streams/1dvjpnyyrkgohecsb/stream.m3u8,ONLINE,https://www.ipcamlive.com/cotswold,segment OK
ONLINE,69421e5731fe2,Australia - Darwin Harbour,morze / port / plaża,1920x1080,25.00,h265,23fiq1bvcd53kz6ve,http://s35.ipcamlive.com/,https://s35.ipcamlive.com/streams/23fiq1bvcd53kz6ve/stream.m3u8,ONLINE,https://www.ipcamlive.com/69421e5731fe2,segment OK
ONLINE,676357af8bc1f,Beach Cam,morze / port / plaża,1280x720,29.41,h264,3fganbhwks3lexetf,http://s63.ipcamlive.com/,https://s63.ipcamlive.com/streams/3fganbhwks3lexetf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/676357af8bc1f,segment OK
ONLINE,bsyc1080,Brighton and Seacliff Yacht Club,morze / port / plaża,1920x1080,30.03,h264,7fch2vhw40o7mdgur,http://s127.ipcamlive.com/,https://s127.ipcamlive.com/streams/7fch2vhw40o7mdgur/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bsyc1080,segment OK
ONLINE,cnbbeach,CNB Beach,morze / port / plaża,1920x1080,10.00,h264,851a0zgpcojgvl6re,http://s133.ipcamlive.com/,https://s133.ipcamlive.com/streams/851a0zgpcojgvl6re/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/cnbbeach,segment OK
ONLINE,600f12bf4a326,Dock Cam,morze / port / plaża,1280x720,25.00,h264,68swdua8sjmvqh4zw,http://s104.ipcamlive.com/,https://s104.ipcamlive.com/streams/68swdua8sjmvqh4zw/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/600f12bf4a326,segment OK
ONLINE,crabislanddestinflorida,Emerald Grande Crab Island Destin Florida Cam,morze / port / plaża,1920x1080,30.03,h264,24sf29pbyn3hk1hjy,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/24sf29pbyn3hk1hjy/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/crabislanddestinflorida,segment OK
ONLINE,6149f4deaa509,Hiszpania - Llafranc - plaża,morze / port / plaża,1920x1080,25.00,h264,64hc3veuti1jkvh7m,http://s100.ipcamlive.com/,https://s100.ipcamlive.com/streams/64hc3veuti1jkvh7m/stream.m3u8,ONLINE,https://www.ipcamlive.com/6149f4deaa509,segment OK
ONLINE,6149f4976134f,Hiszpania - Llafranc - port,morze / port / plaża,1920x1080,4.03,h264,a9tz74zqafakdmews,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9tz74zqafakdmews/stream.m3u8,ONLINE,https://www.ipcamlive.com/6149f4976134f,segment OK
ONLINE,porttorre,Hiszpania - Port Torredembarra,morze / port / plaża,2560x1920,20.00,h264,40arvwngmq3e1hjay,http://s64.ipcamlive.com/,https://s64.ipcamlive.com/streams/40arvwngmq3e1hjay/stream.m3u8,ONLINE,https://www.ipcamlive.com/porttorre,segment OK
ONLINE,5b1a9a31a1f64,Lake Geneva Yacht Club,morze / port / plaża,1920x1080,29.94,h264,8ddscyj89texkhhei,http://s141.ipcamlive.com/,https://s141.ipcamlive.com/streams/8ddscyj89texkhhei/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5b1a9a31a1f64,segment OK
ONLINE,65f00165e60f4,Nahariya - molo/plaża 1,morze / port / plaża,1920x1080,25.06,h264,1bhaloj4d8fkrmezp,http://s27.ipcamlive.com/,https://s27.ipcamlive.com/streams/1bhaloj4d8fkrmezp/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65f00165e60f4,segment OK
ONLINE,65f00024400d7,Nahariya - molo/plaża 2,morze / port / plaża,1920x1080,25.06,h264,1bjonx5aipw1c0ffp,http://s27.ipcamlive.com/,https://s27.ipcamlive.com/streams/1bjonx5aipw1c0ffp/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/65f00024400d7,segment OK
ONLINE,594049acc6784,North Beach Kiten Atliman,morze / port / plaża,1920x1080,19.23,h264,4cjyjhzlay610m8sq,http://s76.ipcamlive.com/,https://s76.ipcamlive.com/streams/4cjyjhzlay610m8sq/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/594049acc6784,segment OK
ONLINE,ottensharbor,Ottens Harbor,morze / port / plaża,2688x1520,29.94,h264,a29lj876xobwa0rmx,http://s162.ipcamlive.com/,https://s162.ipcamlive.com/streams/a29lj876xobwa0rmx/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/ottensharbor,segment OK
ONLINE,piercestownchurch,Piercestown Murrintown Church,morze / port / plaża,1920x1080,25.06,h264,a9sqpehbe64kjmzaw,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9sqpehbe64kjmzaw/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/piercestownchurch,segment OK
ONLINE,6690f8f74882c,RPA - Ladysmith Airport,morze / port / plaża,704x576,25.00,h264,adsawinpodkebpzyc,http://s173.ipcamlive.com/,https://s173.ipcamlive.com/streams/adsawinpodkebpzyc/stream.m3u8,ONLINE,https://www.ipcamlive.com/6690f8f74882c,segment OK
ONLINE,seacamera,Sea Club Hadera,morze / port / plaża,1920x1080,25.00,h264,7akrf51zn80olqwhi,http://s122.ipcamlive.com/,https://s122.ipcamlive.com/streams/7akrf51zn80olqwhi/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/seacamera,segment OK
ONLINE,thelandingattheboathouse,The Landing at the Boathouse - Myrtle Beach,morze / port / plaża,1920x1080,29.94,h264,35o6tyrdzzknssaub,http://s53.ipcamlive.com/,https://s53.ipcamlive.com/streams/35o6tyrdzzknssaub/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/thelandingattheboathouse,segment OK
ONLINE,belcekizbeachclub,Turcja - Belcekiz Beach,morze / port / plaża,1920x1080,25.00,h265,2csm3kwgl2l7zjipf,http://s44.ipcamlive.com/,https://s44.ipcamlive.com/streams/2csm3kwgl2l7zjipf/stream.m3u8,ONLINE,https://www.ipcamlive.com/belcekizbeachclub,segment OK
ONLINE,5thavebeach,USA - 5th Avenue Beach,morze / port / plaża,1024x576,20.00,h264,a5xedndlshat3hiin,http://s165.ipcamlive.com/,https://s165.ipcamlive.com/streams/a5xedndlshat3hiin/stream.m3u8,ONLINE,https://www.ipcamlive.com/5thavebeach,segment OK
ONLINE,572100e287461,USA - Bay Head Yacht Club,morze / port / plaża,1280x720,7.15,h264,36rghj8efpnvyymw3,http://s54.ipcamlive.com/,https://s54.ipcamlive.com/streams/36rghj8efpnvyymw3/stream.m3u8,ONLINE,https://www.ipcamlive.com/572100e287461,segment OK
ONLINE,sandpipercovebeach,USA - Sandpiper Cove Beach,morze / port / plaża,1920x1080,29.95,h264,251cpsnjzam9t70ce,http://s37.ipcamlive.com/,https://s37.ipcamlive.com/streams/251cpsnjzam9t70ce/stream.m3u8,ONLINE,https://www.ipcamlive.com/sandpipercovebeach,segment OK
ONLINE,acb92fbd0c3c,USA - Seneca Lake Pier,morze / port / plaża,1920x1080,25.13,h264,a5czqutbjeylbszfa,http://s165.ipcamlive.com/,https://s165.ipcamlive.com/streams/a5czqutbjeylbszfa/stream.m3u8,ONLINE,https://www.ipcamlive.com/acb92fbd0c3c,segment OK
ONLINE,62fe39146c821,USA - Stone Harbor Beach South,morze / port / plaża,1920x1080,10.00,h264,a4rdta8mmkgequf4b,http://s164.ipcamlive.com/,https://s164.ipcamlive.com/streams/a4rdta8mmkgequf4b/stream.m3u8,ONLINE,https://www.ipcamlive.com/62fe39146c821,segment OK
ONLINE,647220b9d946a,USA - Stone Harbor Yacht Club,morze / port / plaża,2688x1520,30.03,h264,1edsrahvuwk3x8clh,http://s30.ipcamlive.com/,https://s30.ipcamlive.com/streams/1edsrahvuwk3x8clh/stream.m3u8,ONLINE,https://www.ipcamlive.com/647220b9d946a,segment OK
ONLINE,jky47s3rdft73mek111a,USA - Ventura Harbor Entrance,morze / port / plaża,3840x2160,29.96,h265,9cdjsnokmqirxwldn,http://s156.ipcamlive.com/,https://s156.ipcamlive.com/streams_storage/9cdjsnokmqirxwldn/stream.m3u8,ONLINE,https://www.ipcamlive.com/jky47s3rdft73mek111a,segment OK
ONLINE,lidosparesort,Włochy - Albissola Marina,morze / port / plaża,704x576,5.99,h264,aalqnzfgihxckzr9e,http://s170.ipcamlive.com/,https://s170.ipcamlive.com/streams/aalqnzfgihxckzr9e/stream.m3u8,ONLINE,https://www.ipcamlive.com/lidosparesort,segment OK
