status,alias,nazwa,typ,resolution,fps,codec,streamid,server,hls,poprzedni_status,adres_strony,uwagi
ONLINE,democam2nd,City Hall Demo Cam 2,miasto / panorama,1920x640,14.25,h264,1cizruud0jap2ns1i,http://s28.ipcamlive.com/,https://s28.ipcamlive.com/streams/1cizruud0jap2ns1i/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/democam2nd,segment OK
ONLINE,panorama,Comune di Gioiosa Marea - panorama,miasto / panorama,1920x1080,25.00,h264,40zv3p91d5rzuoghq,http://s64.ipcamlive.com/,https://s64.ipcamlive.com/streams/40zv3p91d5rzuoghq/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/panorama,segment OK
ONLINE,bismarck,Downtown Bismarck,miasto / panorama,1280x720,12.33,h264,5expi1jeoabafcknf,http://s94.ipcamlive.com/,https://s94.ipcamlive.com/streams/5expi1jeoabafcknf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bismarck,segment OK
ONLINE,6634b86c732a3,Hvar Panorama,miasto / panorama,1920x1080,6.10,h264,18tyb6frpsxrqm3zq,http://s24.ipcamlive.com/,https://s24.ipcamlive.com/streams/18tyb6frpsxrqm3zq/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6634b86c732a3,segment OK
ONLINE,laurelwoodview,Laurelwood Golf - panorama,miasto / panorama,1920x1080,30.03,h264,49qbxflzquonceixy,http://s73.ipcamlive.com/,https://s73.ipcamlive.com/streams/49qbxflzquonceixy/stream.m3u8,ONLINE,https://www.ipcamlive.com/laurelwoodview,segment OK
ONLINE,panocamfliegercamp,Panoramakamera Fliegercamp,miasto / panorama,3840x2160,20.00,h264,7clxumsvgn2c10oqa,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams/7clxumsvgn2c10oqa/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/panocamfliegercamp,segment OK
ONLINE,monacilioni4,Piazza 3 Monacilioni,miasto / panorama,640x360,30.03,h264,4alzhriaypd13mejn,http://s74.ipcamlive.com/,https://s74.ipcamlive.com/streams/4alzhriaypd13mejn/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/monacilioni4,segment OK
ONLINE,bonefro1,Piazza Bonefro,miasto / panorama,1920x1080,29.94,h264,a9jkc5dgvymw71jiu,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9jkc5dgvymw71jiu/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bonefro1,segment OK
ONLINE,plazasierrapambleyvillablino,Plaza Sierra Pambley,miasto / panorama,1920x1080,25.00,h264,7ccjouq9xews2fmnc,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams/7ccjouq9xews2fmnc/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/plazasierrapambleyvillablino,segment OK
ONLINE,wiezowieczachod,Polska - Bolesławiec - panorama,miasto / panorama,1280x720,14.99,h264,7cnqxqmbwehsmkkdl,http://s124.ipcamlive.com/,https://s124.ipcamlive.com/streams_storage/7cnqxqmbwehsmkkdl/stream.m3u8,ONLINE,https://www.ipcamlive.com/wiezowieczachod,segment OK
ONLINE,6616fd68cdd18,PR Downtown Hwy 59 North,miasto / panorama,1920x1080,14.99,h265,6ffzv1un2zcisgai0,http://s111.ipcamlive.com/,https://s111.ipcamlive.com/streams/6ffzv1un2zcisgai0/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6616fd68cdd18,segment OK
ONLINE,6616fdb7af12f,PR Downtown Hwy 59 South,miasto / panorama,1920x1080,15.02,h265,98zegjoyjykwors2c,http://s152.ipcamlive.com/,https://s152.ipcamlive.com/streams/98zegjoyjykwors2c/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/6616fdb7af12f,segment OK
ONLINE,smokovac,Smokovac,miasto / panorama,1280x720,10.00,h264,b1ot9lnn0kayseviz,http://s177.ipcamlive.com/,https://s177.ipcamlive.com/streams/b1ot9lnn0kayseviz/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/smokovac,segment OK
ONLINE,ffm0,Street Cam,miasto / panorama,1280x720,14.99,h264,a2pmcy8l4qszkennw,http://s162.ipcamlive.com/,https://s162.ipcamlive.com/streams/a2pmcy8l4qszkennw/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/ffm0,segment OK
ONLINE,5a86db6a77a43,Tisno - most,miasto / panorama,1920x1088,25.00,h264,a0izxkrrs7tgjqjlf,http://s160.ipcamlive.com/,https://s160.ipcamlive.com/streams/a0izxkrrs7tgjqjlf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/5a86db6a77a43,segment OK
ONLINE,cotswold,Anglia - Cotswold Airport,morze / port / plaża,640x480,14.73,h265,1dvsalptba3vdqk1l,http://s29.ipcamlive.com/,https://s29.ipcamlive.com/streams/1dvsalptba3vdqk1l/stream.m3u8,ONLINE,https://www.ipcamlive.com/cotswold,segment OK
ONLINE,6654f97b9fdf3,Anglia - Pagham Beach,morze / port / plaża,704x576,14.71,h265,37tw1wvaoob7xy2i9,http://s55.ipcamlive.com/,https://s55.ipcamlive.com/streams/37tw1wvaoob7xy2i9/stream.m3u8,ONLINE,https://www.ipcamlive.com/6654f97b9fdf3,segment OK
ONLINE,69421e5731fe2,Australia - Darwin Harbour,morze / port / plaża,1920x1080,25.00,h265,3ejx2yuoergotvbtk,http://s62.ipcamlive.com/,https://s62.ipcamlive.com/streams/3ejx2yuoergotvbtk/stream.m3u8,ONLINE,https://www.ipcamlive.com/69421e5731fe2,segment OK
ONLINE,bsyc1080,Brighton and Seacliff Yacht Club,morze / port / plaża,1920x1080,30.03,h264,7f52wxyhnbjpmo0zv,http://s127.ipcamlive.com/,https://s127.ipcamlive.com/streams/7f52wxyhnbjpmo0zv/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/bsyc1080,segment OK
ONLINE,cnbbeach,CNB Beach,morze / port / plaża,1920x1080,10.00,h264,851vo2pjziawlt4o9,http://s133.ipcamlive.com/,https://s133.ipcamlive.com/streams/851vo2pjziawlt4o9/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/cnbbeach,segment OK
ONLINE,600f12bf4a326,Dock Cam,morze / port / plaża,1280x720,25.00,h264,68xpjiadgqtnsszpf,http://s104.ipcamlive.com/,https://s104.ipcamlive.com/streams/68xpjiadgqtnsszpf/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/600f12bf4a326,segment OK
ONLINE,crabislanddestinflorida,Emerald Grande Crab Island Destin Florida Cam,morze / port / plaża,1920x1080,30.03,h264,246v2fnszumrdmg1h,http://s36.ipcamlive.com/,https://s36.ipcamlive.com/streams/246v2fnszumrdmg1h/stream.m3u8,NIE TESTOWANO,https://www.ipcamlive.com/crabislanddestinflorida,segment OK
ONLINE,6149f4deaa509,Hiszpania - Llafranc - plaża,morze / port / plaża,1920x1080,25.00,h264,64upkjobqrravnlh4,http://s100.ipcamlive.com/,https://s100.ipcamlive.com/streams/64upkjobqrravnlh4/stream.m3u8,ONLINE,https://www.ipcamlive.com/6149f4deaa509,segment OK
ONLINE,6149f4976134f,Hiszpania - Llafranc - port,morze / port / plaża,1920x1080,4.03,h264,a9sli9jvn1pzpwxyr,http://s169.ipcamlive.com/,https://s169.ipcamlive.com/streams/a9sli9jvn1pzpwxyr/stream.m3u8,ONLINE,https://www.ipcamlive.com/6149f4976134f,segment OK
